Winner,First Pick,Second Pick,Ban 1,Ban 2,Ban 3,Ban 4,Ban 5,Ban 6,Ban 7,Ban 8,Pick 1,Pick 2,Pick 3,Pick 4,Ban 9,Ban 10,Pick 5,Pick 6,Pick 7,Pick 8,Ban 11,Ban 12,Pick 9,Pick 10
Neon Esports,T1,Neon Esports,queen-of-pain,timbersaw,dragon-knight,batrider,death-prophet,lone-druid,venomancer,clockwerk,ember-spirit,beastmaster,natures-prophet,winter-wyvern,lycan,troll-warlord,earthshaker,earth-spirit,morphling,ursa,enigma,viper,pangolier,grimstroke
Neon Esports,Neon Esports,T1,timbersaw,dragon-knight,lone-druid,queen-of-pain,clockwerk,death-prophet,batrider,natures-prophet,venomancer,earthshaker,enigma,rubick,phantom-lancer,morphling,ember-spirit,tiny,phoenix,snapfire,riki,troll-warlord,ursa,medusa
Reality Rift,Reality Rift,Neon Esports,queen-of-pain,clockwerk,beastmaster,batrider,natures-prophet,ember-spirit,dragon-knight,timbersaw,earthshaker,enchantress,void-spirit,ancient-apparition,death-prophet,morphling,tusk,faceless-void,venomancer,treant-protector,storm-spirit,lycan,shadow-fiend,templar-assassin
Neon Esports,Neon Esports,Reality Rift,clockwerk,beastmaster,batrider,natures-prophet,ember-spirit,queen-of-pain,timbersaw,morphling,earthshaker,phoenix,dragon-knight,snapfire,treant-protector,death-prophet,rubick,void-spirit,faceless-void,venomancer,lycan,tidehunter,spectre,invoker
T1,Cignal Ultra,T1,lone-druid,oracle,void-spirit,ember-spirit,timbersaw,dragon-knight,clockwerk,batrider,earthshaker,phoenix,natures-prophet,beastmaster,lycan,riki,tusk,vengeful-spirit,morphling,medusa,mars,invoker,dazzle,kunkka
T1,T1,Cignal Ultra,oracle,lone-druid,batrider,timbersaw,dragon-knight,void-spirit,enchantress,beastmaster,ember-spirit,earthshaker,morphling,ancient-apparition,natures-prophet,clockwerk,phoenix,skywrath-mage,legion-commander,axe,monkey-king,queen-of-pain,ursa,venomancer
Geek Fam,Geek Fam,Adroit,death-prophet,batrider,clockwerk,timbersaw,ancient-apparition,riki,pugna,dragon-knight,beastmaster,enchantress,ember-spirit,morphling,phantom-lancer,earthshaker,venomancer,witch-doctor,lycan,pangolier,tidehunter,tusk,phoenix,natures-prophet
GeekFam,Adroit,Geek Fam,timbersaw,lycan,riki,death-prophet,pangolier,clockwerk,earthshaker,ancient-apparition,ember-spirit,dragon-knight,queen-of-pain,phoenix,batrider,legion-commander,morphling,vengeful-spirit,ogre-magi,medusa,beastmaster,natures-prophet,elder-titan,brewmaster
BOOM Esports,BOOM Esports,T1,clockwerk,batrider,death-prophet,dragon-knight,necrophos,riki,natures-prophet,lycan,ember-spirit,grimstroke,beastmaster,enchantress,mirana,winter-wyvern,enigma,rubick,monkey-king,phantom-assassin,pangolier,morphling,dazzle,lone-druid
BOOM Esports,BOOM Esports,T1,clockwerk,batrider,death-prophet,dragon-knight,necrophos,lycan,natures-prophet,riki,ember-spirit,bane,luna,beastmaster,tusk,spectre,skywrath-mage,shadow-demon,mars,witch-doctor,medusa,storm-spirit,ursa,venomancer
Geek Fam,TNC Predator,Geek Fam,batrider,brewmaster,ember-spirit,lycan,void-spirit,riki,kunkka,beastmaster,phoenix,mirana,dragon-knight,earthshaker,ancient-apparition,morphling,bane,necrophos,gyrocopter,faceless-void,templar-assassin,venomancer,lina,doom
TNC Predator,Geek Fam,TNC Predator,templar-assassin,dragon-knight,brewmaster,ember-spirit,death-prophet,beastmaster,earthshaker,void-spirit,mirana,phoenix,legion-commander,ogre-magi,faceless-void,morphling,queen-of-pain,kunkka,bounty-hunter,lycan,dazzle,troll-warlord,centaur-warrunner,ursa
BOOM Esports,BOOM Esports,Execration,chen,ember-spirit,nyx-assassin,batrider,clockwerk,timbersaw,rubick,earthshaker,enigma,beastmaster,jakiro,pangolier,riki,death-prophet,weaver,enchantress,morphling,medusa,void-spirit,invoker,kunkka,templar-assassin
BOOM Esports,Execration,BOOM Esports,clockwerk,nyx-assassin,batrider,timbersaw,lycan,ember-spirit,pangolier,morphling,earthshaker,vengeful-spirit,medusa,ancient-apparition,beastmaster,riki,mars,dazzle,phoenix,slark,invoker,void-spirit,natures-prophet,kunkka
Fnatic,Adroit,Fnatic,timbersaw,pugna,ember-spirit,batrider,ancient-apparition,death-prophet,riki,clockwerk,natures-prophet,winter-wyvern,earthshaker,weaver,lycan,spectre,beastmaster,enchantress,morphling,phantom-assassin,storm-spirit,monkey-king,magnus,void-spirit
Adroit,Fnatic,Adroit,pugna,riki,batrider,ember-spirit,lycan,natures-prophet,nyx-assassin,timbersaw,earthshaker,ancient-apparition,beastmaster,clinkz,clockwerk,faceless-void,elder-titan,winter-wyvern,void-spirit,storm-spirit,dazzle,phantom-assassin,legion-commander,spectre
Fnatic,Fnatic,Execration,enchantress,timbersaw,chen,natures-prophet,lycan,beastmaster,oracle,morphling,ember-spirit,queen-of-pain,nyx-assassin,earthshaker,troll-warlord,phantom-lancer,grimstroke,bane,faceless-void,visage,templar-assassin,batrider,lone-druid,venomancer
Fnatic,Execration,Fnatic,natures-prophet,lycan,death-prophet,ember-spirit,timbersaw,clockwerk,void-spirit,batrider,earthshaker,phoenix,tiny,morphling,ancient-apparition,winter-wyvern,chen,crystal-maiden,luna,storm-spirit,beastmaster,shadow-fiend,underlord,invoker
Adroit,Adroit,T1,clockwerk,oracle,riki,death-prophet,timbersaw,lycan,natures-prophet,lone-druid,ember-spirit,enchantress,void-spirit,bane,ursa,naga-siren,legion-commander,bloodseeker,techies,templar-assassin,enigma,batrider,dazzle,morphling
T1,Adroit,T1,clockwerk,oracle,riki,lycan,timbersaw,death-prophet,spectre,legion-commander,ember-spirit,earthshaker,natures-prophet,jakiro,ursa,batrider,enchantress,lone-druid,pangolier,enigma,beastmaster,morphling,phoenix,naga-siren
Fnatic,Fnatic,T1,clockwerk,earthshaker,luna,batrider,nyx-assassin,timbersaw,beastmaster,dragon-knight,ember-spirit,void-spirit,grimstroke,natures-prophet,phantom-assassin,lycan,lone-druid,phoenix,earth-spirit,death-prophet,tiny,venomancer,morphling,dark-seer
Fnatic,Fnatic,T1,clockwerk,earthshaker,nyx-assassin,ember-spirit,grimstroke,batrider,centaur-warrunner,lycan,tiny,natures-prophet,tusk,winter-wyvern,riki,timbersaw,keeper-of-the-light,troll-warlord,spectre,necrophos,death-prophet,queen-of-pain,mirana,invoker
Reality Rift,Reality Rift,Geek Fam,batrider,clockwerk,beastmaster,ember-spirit,dragon-knight,timbersaw,nyx-assassin,riki,treant-protector,phoenix,earthshaker,troll-warlord,razor,enigma,queen-of-pain,mirana,morphling,ancient-apparition,legion-commander,void-spirit,templar-assassin,pangolier
Geek Fam,Reality Rift,Geek Fam,batrider,treant-protector,beastmaster,troll-warlord,nyx-assassin,lycan,death-prophet,ancient-apparition,phoenix,ember-spirit,mirana,puck,dragon-knight,faceless-void,morphling,legion-commander,ogre-magi,riki,shadow-fiend,earthshaker,templar-assassin,slardar
Execration,Cignal Ultra,Execration,batrider,clockwerk,timbersaw,ember-spirit,mars,beastmaster,rubick,earthshaker,dragon-knight,ancient-apparition,nyx-assassin,grimstroke,ursa,riki,queen-of-pain,tusk,troll-warlord,venomancer,faceless-void,legion-commander,phantom-lancer,underlord
Execration,Execration,Cignal Ultra,clockwerk,dragon-knight,ember-spirit,earthshaker,timbersaw,batrider,axe,mars,beastmaster,enchantress,tusk,morphling,ancient-apparition,invoker,necrophos,pugna,anti-mage,enigma,natures-prophet,rubick,pangolier,kunkka
Geek Fam,BOOM Esports,Geek Fam,dragon-knight,earthshaker,death-prophet,lycan,nyx-assassin,timbersaw,morphling,phoenix,ember-spirit,beastmaster,witch-doctor,batrider,slark,phantom-assassin,oracle,lich,troll-warlord,spectre,pangolier,invoker,void-spirit,necrophos
BOOM Esports,BOOM Esports,Geek Fam,dragon-knight,timbersaw,death-prophet,lycan,nyx-assassin,phoenix,morphling,earthshaker,ember-spirit,beastmaster,witch-doctor,batrider,oracle,rubick,enigma,winter-wyvern,weaver,medusa,centaur-warrunner,legion-commander,pangolier,dazzle
BOOM Esports,TNC Predator,BOOM Esports,ember-spirit,chen,batrider,phoenix,timbersaw,death-prophet,clockwerk,vengeful-spirit,earthshaker,beastmaster,mirana,natures-prophet,spectre,riki,winter-wyvern,grimstroke,wraith-king,phantom-assassin,dragon-knight,kunkka,tidehunter,necrophos
TNC Predator,TNC Predator,BOOM Esports,batrider,chen,timbersaw,phoenix,ember-spirit,death-prophet,beastmaster,tidehunter,grimstroke,lone-druid,clockwerk,earthshaker,lich,faceless-void,ancient-apparition,void-spirit,dragon-knight,necrophos,ursa,lina,terrorblade,pugna
Adroit,Adroit,TNC Predator,riki,pugna,timbersaw,batrider,chen,ember-spirit,phantom-assassin,ancient-apparition,beastmaster,kunkka,phoenix,tusk,templar-assassin,medusa,brewmaster,dazzle,earthshaker,enigma,morphling,lycan,weaver,phantom-lancer
Adroit,Adroit,TNC Predator,riki,beastmaster,timbersaw,ancient-apparition,chen,batrider,templar-assassin,pugna,ember-spirit,grimstroke,abaddon,earthshaker,phantom-assassin,lycan,rubick,enchantress,leshrac,morphling,natures-prophet,slark,phoenix,ursa
Geek Fam,Geek Fam,Cignal Ultra,skywrath-mage,pangolier,clockwerk,timbersaw,death-prophet,void-spirit,rubick,dragon-knight,earthshaker,ember-spirit,keeper-of-the-light,necrophos,centaur-warrunner,morphling,tusk,oracle,pugna,weaver,faceless-void,phantom-assassin,batrider,queen-of-pain
Geek Fam,Geek Fam,Cignal Ultra,phoenix,void-spirit,clockwerk,batrider,death-prophet,timbersaw,riki,earthshaker,ember-spirit,oracle,morphling,enigma,rubick,lycan,dragon-knight,grimstroke,vengeful-spirit,ursa,doom,venomancer,queen-of-pain,enchantress
Adroit,Reality Rift,Adroit,lone-druid,timbersaw,chen,clockwerk,batrider,phoenix,shadow-fiend,ember-spirit,natures-prophet,dragon-knight,ancient-apparition,tusk,faceless-void,troll-warlord,earthshaker,lion,beastmaster,spectre,void-spirit,death-prophet,windranger,dazzle
Adroit,Adroit,Reality Rift,timbersaw,lone-druid,riki,ember-spirit,lycan,batrider,clockwerk,beastmaster,ancient-apparition,oracle,troll-warlord,pugna,pangolier,faceless-void,earthshaker,tidehunter,enigma,gyrocopter,kunkka,queen-of-pain,void-spirit,monkey-king
Fnatic,Reality Rift,Fnatic,timbersaw,ember-spirit,morphling,clockwerk,batrider,earthshaker,nyx-assassin,phoenix,natures-prophet,winter-wyvern,troll-warlord,ancient-apparition,tiny,spectre,bounty-hunter,pangolier,treant-protector,outworld-devourer,faceless-void,storm-spirit,bloodseeker,tinker
Fnatic,Fnatic,Reality Rift,clockwerk,ember-spirit,grimstroke,timbersaw,lycan,death-prophet,phoenix,morphling,earthshaker,rubick,treant-protector,batrider,slark,naga-siren,weaver,chen,abaddon,alchemist,riki,meepo,void-spirit,templar-assassin
TNC Predator,Fnatic,TNC Predator,beastmaster,ember-spirit,grimstroke,batrider,clockwerk,timbersaw,mars,morphling,earthshaker,phoenix,brewmaster,death-prophet,queen-of-pain,oracle,lina,weaver,mirana,natures-prophet,lycan,riki,vengeful-spirit,phantom-assassin
Fnatic,Fnatic,TNC Predator,beastmaster,ember-spirit,grimstroke,batrider,phoenix,timbersaw,mirana,earthshaker,natures-prophet,chen,brewmaster,morphling,phantom-lancer,death-prophet,templar-assassin,earth-spirit,rubick,clinkz,dazzle,broodmother,winter-wyvern,riki
Quincy Crew,Quincy Crew,Evil Geniuses,dragon-knight,ember-spirit,tusk,keeper-of-the-light,shadow-demon,gyrocopter,natures-prophet,timbersaw,phoenix,snapfire,weaver,void-spirit,queen-of-pain,winter-wyvern,legion-commander,lich,death-prophet,beastmaster,riki,bristleback,morphling,clinkz
Evil Geniuses,Evil Geniuses,Quincy Crew,phoenix,keeper-of-the-light,rubick,shadow-demon,death-prophet,clockwerk,gyrocopter,ember-spirit,tusk,lich,pugna,natures-prophet,bristleback,queen-of-pain,void-spirit,grimstroke,phantom-assassin,puck,lycan,beastmaster,riki,underlord
Evil Geniuses,Quincy Crew,Evil Geniuses,dragon-knight,keeper-of-the-light,natures-prophet,ember-spirit,tusk,gyrocopter,shadow-demon,grimstroke,phoenix,beastmaster,mirana,timbersaw,ursa,bristleback,ogre-magi,clockwerk,leshrac,void-spirit,clinkz,queen-of-pain,troll-warlord,kunkka
Evil Geniuses,Evil Geniuses,Quincy Crew,death-prophet,keeper-of-the-light,gyrocopter,natures-prophet,winter-wyvern,beastmaster,grimstroke,ember-spirit,shadow-demon,tusk,weaver,mirana,morphling,naga-siren,lich,bristleback,riki,dragon-knight,leshrac,shadow-fiend,slardar,timbersaw
Evil Geniuses,Evil Geniuses,Thunder Predator,riki,chen,shadow-fiend,keeper-of-the-light,phoenix,dragon-knight,death-prophet,ember-spirit,shadow-demon,void-spirit,natures-prophet,beastmaster,bristleback,lycan,gyrocopter,mirana,winter-wyvern,storm-spirit,spectre,batrider,doom,puck
Thunder Predator,Thunder Predator,Evil Geniuses,chen,shadow-fiend,shadow-demon,riki,beastmaster,keeper-of-the-light,dragon-knight,phoenix,ember-spirit,death-prophet,oracle,natures-prophet,alchemist,clockwerk,elder-titan,ancient-apparition,gyrocopter,spectre,queen-of-pain,batrider,kunkka,tidehunter
Evil Geniuses,Evil Geniuses,Thunder Predator,riki,chen,shadow-fiend,beastmaster,phoenix,shadow-demon,death-prophet,keeper-of-the-light,ember-spirit,grimstroke,clockwerk,natures-prophet,bristleback,lycan,spectre,undying,void-spirit,naga-siren,queen-of-pain,timbersaw,tusk,underlord
Evil Geniuses,Evil Geniuses,Thunder Predator,riki,chen,shadow-fiend,keeper-of-the-light,phoenix,dragon-knight,death-prophet,ember-spirit,shadow-demon,void-spirit,natures-prophet,beastmaster,bristleback,lycan,gyrocopter,mirana,winter-wyvern,storm-spirit,spectre,batrider,doom,puck
Thunder Predator,Thunder Predator,Evil Geniuses,chen,shadow-fiend,shadow-demon,riki,beastmaster,keeper-of-the-light,dragon-knight,phoenix,ember-spirit,death-prophet,oracle,natures-prophet,alchemist,clockwerk,elder-titan,ancient-apparition,gyrocopter,spectre,queen-of-pain,batrider,kunkka,tidehunter
Evil Geniuses,Evil Geniuses,Thunder Predator,riki,chen,shadow-fiend,beastmaster,phoenix,shadow-demon,death-prophet,keeper-of-the-light,ember-spirit,grimstroke,clockwerk,natures-prophet,bristleback,lycan,spectre,undying,void-spirit,naga-siren,queen-of-pain,timbersaw,tusk,underlord
TNC Predator,Geek Fam,TNC Predator,chen,tusk,bounty-hunter,pugna,timbersaw,batrider,mirana,ember-spirit,earthshaker,oracle,troll-warlord,void-spirit,centaur-warrunner,razor,clockwerk,lich,natures-prophet,terrorblade,mars,queen-of-pain,death-prophet,necrophos
TNC Predator,Geek Fam,TNC Predator,chen,tusk,bounty-hunter,batrider,oracle,death-prophet,timbersaw,ember-spirit,pugna,io,gyrocopter,beastmaster,centaur-warrunner,faceless-void,legion-commander,grimstroke,mirana,riki,storm-spirit,kunkka,lina,dragon-knight
CR4ZY,CR4ZY,Thunder Predator,phoenix,chen,death-prophet,keeper-of-the-light,bristleback,ember-spirit,timbersaw,dragon-knight,beastmaster,void-spirit,grimstroke,rubick,tusk,wraith-king,doom,witch-doctor,troll-warlord,lycan,invoker,kunkka,queen-of-pain,legion-commander
TNC Predator,CR4ZY,Thunder Predator,death-prophet,chen,timbersaw,beastmaster,bristleback,keeper-of-the-light,phoenix,ember-spirit,void-spirit,grimstroke,clockwerk,pugna,dragon-knight,lycan,shadow-fiend,mars,riki,templar-assassin,naga-siren,oracle,batrider,abaddon
TNC Predator,CR4ZY,Thunder Predator,phoenix,chen,ancient-apparition,beastmaster,timbersaw,death-prophet,bristleback,rubick,ember-spirit,keeper-of-the-light,void-spirit,pugna,shadow-fiend,lycan,riki,underlord,batrider,weaver,queen-of-pain,centaur-warrunner,tusk,nyx-assassin
Quincy Crew,Evil Geniuses,Quincy Crew,phoenix,keeper-of-the-light,ember-spirit,shadow-demon,timbersaw,dragon-knight,void-spirit,death-prophet,grimstroke,gyrocopter,winter-wyvern,centaur-warrunner,batrider,bristleback,rubick,chen,necrophos,alchemist,invoker,slark,queen-of-pain,kunkka
Quincy Crew,Evil Geniuses,Quincy Crew,phoenix,keeper-of-the-light,grimstroke,shadow-demon,timbersaw,dragon-knight,monkey-king,ancient-apparition,ember-spirit,death-prophet,winter-wyvern,natures-prophet,gyrocopter,naga-siren,rubick,lich,legion-commander,queen-of-pain,ursa,wraith-king,bloodseeker,sven
Geek Fam,Geek Fam,BOOM Esports,phoenix,batrider,timbersaw,ember-spirit,alchemist,tusk,centaur-warrunner,phantom-lancer,pugna,grimstroke,void-spirit,beastmaster,phantom-assassin,troll-warlord,tiny,lich,riki,lycan,dragon-knight,underlord,queen-of-pain,mars
Geek Fam,BOOM Esports,Geek Fam,batrider,tusk,nyx-assassin,phoenix,oracle,beastmaster,dragon-knight,lycan,ember-spirit,snapfire,void-spirit,pugna,riki,timbersaw,clockwerk,lich,disruptor,centaur-warrunner,phantom-lancer,slark,templar-assassin,huskar
Fnatic,Fnatic,TNC Predator,chen,tiny,bounty-hunter,timbersaw,mirana,death-prophet,beastmaster,troll-warlord,earthshaker,natures-prophet,pangolier,ember-spirit,monkey-king,keeper-of-the-light,grimstroke,snapfire,bristleback,faceless-void,batrider,morphling,dazzle,alchemist
Fnatic,TNC Predator,Fnatic,timbersaw,chen,tiny,mirana,death-prophet,lycan,ember-spirit,anti-mage,oracle,earthshaker,natures-prophet,troll-warlord,razor,beastmaster,pugna,earth-spirit,mars,void-spirit,batrider,morphling,dark-seer,alchemist
CR4ZY,Cloud9,CR4ZY,pugna,death-prophet,timbersaw,keeper-of-the-light,pangolier,bristleback,ember-spirit,phoenix,chen,mirana,tusk,queen-of-pain,kunkka,beastmaster,dragon-knight,gyrocopter,centaur-warrunner,winter-wyvern,batrider,juggernaut,underlord,ursa
Cloud9,Cloud9,CR4ZY,ember-spirit,keeper-of-the-light,tusk,bristleback,timbersaw,death-prophet,pangolier,beastmaster,phoenix,mirana,legion-commander,troll-warlord,razor,queen-of-pain,ogre-magi,undying,gyrocopter,dragon-knight,mars,batrider,clockwerk,monkey-king
CR4ZY,CR4ZY,Cloud9,phoenix,ember-spirit,death-prophet,tusk,timbersaw,chen,bristleback,keeper-of-the-light,beastmaster,undying,gyrocopter,rubick,dragon-knight,ursa,disruptor,grimstroke,tidehunter,juggernaut,storm-spirit,kunkka,queen-of-pain,legion-commander
Thunder Predator,Thunder Predator,business associates,timbersaw,phoenix,mars,void-spirit,shadow-demon,ember-spirit,chen,death-prophet,keeper-of-the-light,dragon-knight,disruptor,beastmaster,enchantress,bristleback,lich,rubick,dark-seer,kunkka,morphling,monkey-king,alchemist,huskar
Thunder Predator,business associates,Thunder Predator,keeper-of-the-light,timbersaw,death-prophet,chen,dragon-knight,mars,oracle,ember-spirit,shadow-demon,phoenix,void-spirit,beastmaster,gyrocopter,snapfire,legion-commander,lich,bristleback,necrophos,viper,templar-assassin,invoker,lina
Geek Fam,Geek Fam,Adroit,death-prophet,batrider,chen,timbersaw,puck,void-spirit,enchantress,snapfire,pugna,ember-spirit,nyx-assassin,beastmaster,keeper-of-the-light,faceless-void,natures-prophet,oracle,phoenix,troll-warlord,huskar,razor,lina,phantom-assassin
Adroit,Adroit,Geek Fam,batrider,death-prophet,timbersaw,chen,void-spirit,riki,snapfire,puck,earthshaker,keeper-of-the-light,ember-spirit,silencer,templar-assassin,morphling,clockwerk,legion-commander,pugna,lycan,storm-spirit,troll-warlord,queen-of-pain,underlord
Geek Fam,Geek Fam,Adroit,death-prophet,timbersaw,puck,batrider,chen,snapfire,earthshaker,void-spirit,tusk,oracle,pangolier,disruptor,troll-warlord,riki,enchantress,legion-commander,lycan,terrorblade,queen-of-pain,outworld-devourer,storm-spirit,alchemist
BOOM Esports,BOOM Esports,Reality Rift,meepo,phantom-assassin,clockwerk,phoenix,phantom-lancer,ember-spirit,mirana,mars,tusk,shadow-demon,spirit-breaker,void-spirit,death-prophet,batrider,troll-warlord,disruptor,enigma,timbersaw,riki,monkey-king,spectre,outworld-devourer
BOOM Esports,BOOM Esports,Reality Rift,meepo,ember-spirit,clockwerk,void-spirit,mirana,beastmaster,timbersaw,phantom-lancer,tusk,phoenix,mars,riki,slardar,legion-commander,snapfire,oracle,faceless-void,centaur-warrunner,death-prophet,monkey-king,storm-spirit,dragon-knight
Evil Geniuses,CR4ZY,Evil Geniuses,timbersaw,ember-spirit,tusk,pugna,death-prophet,phoenix,keeper-of-the-light,clockwerk,chen,mirana,axe,dragon-knight,necrophos,batrider,ogre-magi,shadow-demon,leshrac,invoker,beastmaster,lycan,pangolier,queen-of-pain
